timestamp;sn;text
2017-02-01 01:56:53;igorvolsky;In my dream world, Dem Senators would say: no hearings until we restore Constitutional norms in the country. But, not the senators we have.
2017-02-01 01:50:36;igorvolsky;I wonder what Merrick Garland is thinking tonight.
2017-02-01 01:39:35;igorvolsky;This can't be real, right? https://t.co/jiBoGAiIsG
2017-02-01 01:37:41;igorvolsky;"As we're looking for someone to restore democracy &amp; fairness, Trump nominated the guy who says corporations can deny women birth control"
2017-02-01 01:27:39;igorvolsky;"RT @frankthorp: There it is: @SenSchumer Stmt: ""The Senate must insist upon 60-votes for any Supreme Court nominee..."" https://t.co/YOmbyTE…"
2017-02-01 01:24:54;igorvolsky;7. Gorsuch rejects giving agencies authority to determine how they will carry out their mandates when the law is unclear
2017-02-01 01:21:39;igorvolsky;6. Gorsuch joined an unpublished opinion ruling against a transgender inmate's claim seeking hormone treatment
2017-02-01 01:18:32;igorvolsky;5. Gorsuch had no problem w/ a police officer using a “twist lock” on a 67-pound 9-year-old boy who stole a school iPad
2017-02-01 01:17:16;igorvolsky;"4. Gorsuch held that fatal use of a stun gun against a man who “turned away"" after admitting to growing marijuana was “reasonable.”"
2017-02-01 01:15:18;igorvolsky;3. Gorsuch wrote there’s nothing wrong w/ a lawyer forcing client to forgo a plea bargain by refusing to continue representing him if he did
2017-02-01 01:13:42;igorvolsky;2. Gorsuch would have allowed the Governor of Utah to defund Planned Parenthood of Utah after false videos surfaced
2017-02-01 01:10:21;igorvolsky;1. Gorsuch sided with religious employers seeking to limit their employees’ rights to birth control coverage https://t.co/0itJl54LxN
2017-02-01 01:06:09;igorvolsky;#StolenSeat
2017-02-01 01:04:39;igorvolsky;RT @CBSThisMorning: JUST IN: President Trump nominates Colorado-based Judge Neil Gorsuch for Supreme Court https://t.co/B3XUQWFaZ4 https://…
2017-02-01 00:58:33;igorvolsky;This is how I feel right now as we await #SCOTUS announcement. #StolenSeat https://t.co/mjzHofb7OY
2017-01-31 23:54:57;igorvolsky;The bar for a SCOTUS nominee is higher b/c our cherished democratic values are at stake. The Senate must do all it can to defend them. 8/8
2017-01-31 23:48:37;igorvolsky;"The Senate must ensure that the SCOTUS nominee is independent -- not a Trump crony -- can attract consensus &amp; strong bipartisan support 7/"
2017-01-31 23:45:10;igorvolsky;All of this means that SCOTUS will serve as the absolute last check on Trump -- in a way IT HAS NEVER REALLY HAD TO BEFORE 6/
2017-01-31 23:43:30;igorvolsky;Trump has concentrated power in hands of small group of advisers: appointing Bannon to NSC, shutting cabinet members out of key decisions 5/
2017-01-31 23:40:33;igorvolsky;"Trump has also squashed dissent: firing government officials -- @SallyQYates -- who disagree w/ him &amp; gagging scientists, other officials 4/"
2017-01-31 23:38:35;igorvolsky;"Republicans have stood by and let this happen, voicing only mild opposition to his outrageous and unthinkable rhetoric &amp; actions 3/"
2017-01-31 23:37:10;igorvolsky;"Since becoming POTUS Trump has destroyed democratic norms: 
✓ Authorized torture
✓ Violated the Emoluments Clause
✓ Imposed a Muslim Ban

2/"
2017-01-31 23:35:23;igorvolsky;Here is why Democrats must fight Donald Trump's Supreme Court nominee with everything they got. 1/
2017-01-31 19:41:07;igorvolsky;@PeteDominick haven't we met in person? I can't remember.
2017-01-31 19:39:24;igorvolsky;White House aides who wrote Trump's travel ban see it as just the start. Let's call this what it is: blatant racism… https://t.co/6qld2H8GkF
2017-01-31 19:03:38;igorvolsky;@NickBaumann too soon
2017-01-31 19:02:54;igorvolsky;"RT @samueloakford: NBC has a detailed report on Trump's first approved clandestine strike, in Yemen. ""Almost everything went wrong."" https:…"
2017-01-31 18:55:19;igorvolsky;People are getting arrested while demanding to know what Republicans are going to replace Obamacare with https://t.co/j7IyBFWnL3
2017-01-31 18:50:01;igorvolsky;RT @aterkel: Sean Spicer says blocking Merrick Garland was different, bc it came in the “fourth term.” So that was okay.
2017-01-31 17:20:16;igorvolsky;RT @JuddLegum: Democrats boycott hearings of two cabinet nominees, demand the truth https://t.co/719uy11mhA https://t.co/40RLWOh6G8
2017-01-31 17:18:52;igorvolsky;@charliesgm hi, I'm engaging!
2017-01-31 17:13:00;igorvolsky;The only SCOTUS nominee the Senate should consider is Judge Merrick Garland, who was denied fair consideration by @SenateGOP .
2017-01-31 17:07:43;igorvolsky;"After witnessing global protests against Trump &amp; his agenda over last 2 weeks, why would senators approve his nominees to implement it?"
2017-01-31 17:01:26;igorvolsky;"RT if you agree: If Trump’s SCOTUS nominee won’t stand up for our Constitution &amp; restore American values, the Senat… https://t.co/1XHxU89GyJ"
2017-01-31 17:01:00;igorvolsky;"Trump has:

✓ Authorized torture
✓ Violated the Emoluments Clause
✓ Imposed a Muslim Ban

His SCOTUS nominee is more important than ever"
2017-01-31 14:03:20;igorvolsky;"Prosecutorial &amp; legal independence used to be really important during the Obama administration. Just ask Jeff Sessi… https://t.co/RnWaYL85pw"
2017-01-31 13:59:07;igorvolsky;Sessions told @SallyQYates how much he valued her legal independence. Does he still believe that today? https://t.co/cl8IV3hyjw
2017-01-31 04:14:33;igorvolsky;RT @matthewamiller: Don't forget Trump's campaign is under investigation. Dangerous precedent if he decides he can fire a prosecutor for ex…
2017-01-31 03:39:20;igorvolsky;RT @JohnJHarwood: In addition to acting Attorney General, President Trump has fired the acting ICE director tonight https://t.co/lAn1z5Blkt
2017-01-31 03:02:52;igorvolsky;Here is a picture of the oath of office @SallyQYates took. Note that she swore allegiance to the Constitution, not… https://t.co/qavDZ1dL6I
2017-01-31 02:48:35;igorvolsky;Just imagine what this does to the morale of the career staff at DOJ... or employees all over government. https://t.co/yAlCIKW5b2
2017-01-31 02:41:24;igorvolsky;"Trump's firing of @SallyQYates sends a clear message to govt employees

From now on, your fidelity is to Trump, not the U.S. Constitution."
2017-01-31 02:33:07;igorvolsky;.@SallyQYates https://t.co/wmAVVLvi2a
2017-01-31 02:25:50;igorvolsky;"And Trump's #WarOnDissent continues. 

Acting Attorney General
Scientists
Diplomats

Who else?"
2017-01-31 02:24:59;igorvolsky;"To Trump, having Constitutional concerns about the legality of something means you're ""weak."" Apparently, strong =… https://t.co/0owSLPjDd8"
2017-01-31 02:22:56;igorvolsky;If you don't fall in Iine with Trump, you're fired. https://t.co/WZRuWYurQ8
2017-01-31 02:05:22;igorvolsky;A vote for Jeff Sessions is a vote for Trump’s Muslim ban (especially now that current DOJ head won't defend it) https://t.co/HeehBZjThG
2017-01-31 01:16:36;igorvolsky;RT @NickBaumann: Sally Yates is a great reminder that government employees actually DO have choices other than getting in line behind the p…
