timestamp;sn;text
2017-02-01 00:24:34;Quora;RT @nikhilbd: Why did you choose to work at Quora over other companies? by Dmitriy Genzel https://t.co/oToDYUQeKh
2017-01-31 20:00:37;Quora;Could the pro-Trump #BoycottStarbucks campaign actually help Starbucks? by Archie D'Cruz https://t.co/JTGFATWJQE https://t.co/kUgkkIHsQu
2017-01-31 18:00:37;Quora;Why did NASA give up the Space Shuttle when it had no alternative launch vehicle? by Robert Frost… https://t.co/b5MhCr0S4h
2017-01-31 16:00:49;Quora;"What would a ""trade war"" between America and Mexico entail? by Carter Moore https://t.co/vs94s5KfgP https://t.co/FzoooxHOgx"
2017-01-31 14:39:30;Quora;RT @QueenOfKatwe: SPECIAL EVENT! Disney’s #QueenOfKatwe's David Oyelowo will be answering your questions on @QuoraSessions: https://t.co/YK…
2017-01-31 05:53:10;Quora;New hires add their photo to our wall map when they join--Quora employees come from over 20… https://t.co/uzLAyyat0z
2017-01-30 23:35:18;Quora;What should you look for in a plastic surgeon? by David Chan, MD https://t.co/9DzREmXFIv https://t.co/Sazmvxs6pb
2017-01-30 18:20:46;Quora;How is the brain different from a computer? by Ryan Fox Squire https://t.co/uUufX5wf2A https://t.co/PC90leDPk4
2017-01-30 15:23:08;Quora;Could congress pass a resolution allowing Trump to continue to own his businesses? by William Murphy… https://t.co/nvnHTloReJ
2017-01-30 04:58:37;Quora;Today and every day, we're committed to making Quora a safe and welcoming place for people from all parts of the wo… https://t.co/8tubIP1kpi
2017-01-29 18:05:03;Quora;RT @Slate: What are some etiquette rules for sushi chefs? Via @quora: https://t.co/xb6byF0I3o https://t.co/gz4mO97Zfa
2017-01-28 22:50:28;Quora;Has any astronaut ever desired to stay in space? by @Astro_Clay https://t.co/283K4Ye51n https://t.co/3U7nkiFOfe
2017-01-28 22:49:32;Quora;RT @explosion_ai: Very excited about this brand new data set by @Quora – 400,000 lines of potential question duplicate pairs 📝 https://t.co…
2017-01-27 19:01:02;Quora;How did Spotify get so good at machine learning? Was it important from the start? by @fulhack… https://t.co/Kiqk1nrh6i
2017-01-27 17:01:25;Quora;What are some of the major design trends we will see emerge in 2017? by @blumenfeld https://t.co/vYQGbbiCgN https://t.co/7OdhvATKJb
2017-01-27 14:01:14;Quora;Is it likely that half of all tech unicorns could go public in 2017? by @YangVentures https://t.co/cgLmShj8Wv https://t.co/sQi6qO5hex
2017-01-26 22:16:52;Quora;What causes polling error, and what can be done to improve accuracy? by @ikahloon Data Journalist at @TheEconomist… https://t.co/2FzqKLhuCM
2017-01-26 18:01:13;Quora;How do singers mantain their voice? by David Leigh https://t.co/tqg7qkLGcw https://t.co/O4Ky8d2kMK
2017-01-26 17:12:43;Quora;Asana Acquires Customers for its Work Tracking Solution with Ads on Quora https://t.co/oOf3WiN4hl https://t.co/8uYgH95rj4
2017-01-25 23:03:07;Quora;Which VR headsets are likely to be the best sellers of 2017? by Aaron Yip https://t.co/cTZLu9WWL9 https://t.co/1VmyvG3Ac8
2017-01-25 20:00:39;Quora;In medieval times were there soldiers who used martial arts like in Assassin's Creed? by Eric Lowe, HEMA Instructor… https://t.co/VXerqmVvTo
2017-01-25 17:39:16;Quora;What are the likely times and places in the fictional universe of Tangled, Brave, and Frozen? by Mark Hughes… https://t.co/OTMrJ8wZLK
2017-01-25 14:01:13;Quora;Are all life forms relatively symmetrical? by Stefan Pociask https://t.co/ur9IKHxnX2 https://t.co/RhQvIumt2z
2017-01-24 19:25:18;Quora;RT @adamdangelo: First Quora Dataset Release: Question Pairs https://t.co/8edYSvdnw3
